admin1pcode,admin4pcode,sub_district,site,longitude_x,latitude_y,persons,type,temp_code
SY07,C6622,Salqin,Jakara,36.389864,36.148555,550,Beneficiaries,NA
SY07,C6631,Maaret Tamsrin,Shekh Bahr,36.564705,36.050467,2100,Beneficiaries,NA
SY07,C6693,Dana,Burdaqly,36.73179,36.21333,1382,Beneficiaries,NA
SY07,C3949,Maaret Tamsrin,Al ZohoorHuman appeal reception center,36.0678166,36.13064,5272,RC/IDP,CP002270
SY07,C4130,Dana,Ikraa  ,36.66532,36.318732,320,RC/IDP,CP000823
SY07,NA,Dana,Affad  ,36.76735,36.245725,209,RC/IDP,CP001989
SY07,C6693,Dana,saad RC,36.683145,36.234936,450,RC/IDP,CP001801
SY07,C4131,Dana,Iqraa Center,36.709518,36.294221,400,RC/IDP,TEMP001
SY07,NA,Dana,alnuwr Center,36.73817,36.270253,275,RC/IDP,TEMP002
SY07,C4131,Dana,Kafr nboda Center,36.733727,36.282379,515,RC/IDP,CP000667
SY07,NA,Harim,Ain Albakkara Center,36.41137,36.196241,670,RC/IDP,TEMP003
SY07,C4140,Salqin,Hadikat al kaser Center,36.445345,36.139777,1665,RC/IDP,TEMP004
SY07,C4140,Salqin,Alallani Group,36.38855,36.160526,610,RC/IDP,TEMP005
SY07,C4140,Salqin,Aqadimi  ,36.459209,36.144321,2100,RC/IDP,CP001146
SY07,C4140,Salqin,Dar al oahi,36.45218,36.1423781,470,RC/IDP,TEMP006
SY07,C4140,Salqin,Soq alhal Center,36.460974,36.149049,265,RC/IDP,TEMP007
SY07,C4140,Salqin,Al Ajami  ,36.469891,36.128411,1010,RC/IDP,CP002065
SY07,C4143,Salqin,Almalab,36.441854,36.135249,635,RC/IDP,TEMP009
SY07,C4148,Salqin,Ain tibaa,36.435694,36.053167,500,RC/IDP,TEMP010
SY07,NA,Dana,RC Seema organization,36.711586,36.246804,225,RC/IDP,TEMP011
SY07,C3949,Ma'arrat Tamasrin,Dar Aliman,36.659549,36.117652,141,RC/IDP,CP001411
SY07,C4140,Salqin,Abu Talhah - Al nour,36.433269,36.10407,850,RC/IDP,TEMP012
SY07,C4143,Salqin,Karm A lZaytoon,36.400558,36.059454,1455,RC/IDP,TEMP013
SY07,C4115,Harim,Al malaab RC,36.214874,36.52244,790,RC/IDP,TEMP015
SY07,C4115,Harim,Ommahat almominin RC,36.56027,36.227088,185,RC/IDP,TEMP016
SY07,C3871,Idleb,Shoaib,36.61739,35.938213,245,RC/IDP,TEMP017
SY07,C3871,Idleb,Shark Center,36.623182,35.909183,155,RC/IDP,TEMP018
SY07,C3871,Idleb,Al qasir,36.598563,35.93919,77,RC/IDP,TEMP019
SY07,C4125,Dana,   markaz 'iiwa' Termanin,36.814575,36.231875,1000,RC/IDP,TEMP020
SY07,C6693,Dana,Bardakli School RC,36.735004000000004,36.213906,383,RC/IDP,TEMP021
SY02,C1426,Jandairis,MHD's reception center,36.7044837,36.4056812,610,RC/IDP,TEMP022
SY02,C1426,Jandairis,MHD's reception center,36.7044837,36.4056812,610,RC/IDP,TEMP023
SY02,NA,Afrin,MHD's reception center,36.962633,36.596485,768,RC/IDP,TEMP024
SY02,NA,Afrin,MHD's reception center,36.962633,36.596485,240,RC/IDP,TEMP025
SY02,NA,Dara Azaa,Industry shelter center,36.861977,36.279525,1280,RC/IDP,TEMP026
NA,C1564,Azaz,private land,37.06373,36.599834,1750,RC/IDP,TEMP028
SY02,NA,Atareb,Alyman camp,36.157008,36.819067,650,RC/IDP,TEMP029
SY02,C2230,Jarablus,"Camp ATAA Third Residence, CP002154",38.008415,36.71317,1275,RC/IDP,CP002154
SY02,C1021,Atareb,Al nour Village CP002248,36.15808,36.750077,600,RC/IDP,CP002248
SY02,C1564,Azaz,RC Azaz CP000364,37.056116,36.586028,1312,RC/IDP,CP000364
SY02,C1021,Atareb,Diniz Al haramin,36.7544,36.156655,250,RC/IDP,TEMP031
SY02,C1611,Aghtrin,Kobtan RC,37.365418,36.527699,505,RC/IDP,TEMP032
SY02,C1202,Al Bab,Rofakaa,37.523034,36.364129,75,RC/IDP,TEMP033
