hub,intervention_type,donor,report_date,distribution_date,planned_implemented,activity,regularity,duration_assistance,quantity,unit,families,beneficiaries,rapid_assessment,governorate,district,sub_district,site,village_camps,camp_name,reception_centre_name,admin1pcode,admin2pcode,admin3pcode,admin4pcode,location_pcode,location_type,longitude_x,latitude_y,partner_code
NWS,Earthquake,Private donor,2023-02-07T00:00:00Z,2023-02-07T00:00:00Z,Implemented,Cooked Meals,NA,1,1,KG,250,1250,Yes,Aleppo,Jebel Saman,Atareb,Atareb,In the Village,NA,NA,SY02,SY0200,SY020001,C1022,C1022,Community,36.828382,36.137884,NA
NWS,Earthquake,Private donor,2023-02-14T00:00:00Z,2023-02-07T00:00:00Z,Implemented,Free Bread Distribution,NA,10,0.6,KG,6000,24000,Yes,Idleb,Harim,Dana,Dana (Dana),Village & Camps,NA,NA,SY07,SY0703,SY070301,C4126,C4126,Community,36.76958,36.213601,NA
NWS,Earthquake,Private donor,2023-02-14T00:00:00Z,2023-02-07T00:00:00Z,Implemented,Free Bread Distribution,NA,10,0.6,KG,6000,24000,Yes,Aleppo,Afrin,Afrin,Afrin (Afrin),Village & Camps,NA,NA,SY02,SY0203,SY020300,C1366,C1366,Community,36.865523,36.511094,NA
NWS,Earthquake,Private donor,2023-02-12T00:00:00Z,2023-02-07T00:00:00Z,Implemented,Free Bread Distribution,NA,2,0.8,KG,350,1750,Yes,Aleppo,Afrin,Jandairis,Hamam (Jandairis),In the Village,مجمع ايواء الكلية في منطقة حمام,NA,SY02,SY0203,SY020302,C1427,C1427,Community,36.606621,36.36782,NA
NWS,Earthquake,Mercy Without Limits (MWL),2023-02-12T00:00:00Z,2023-02-07T00:00:00Z,Implemented,Free Bread Distribution,NA,1,0.8,KG,160,800,Yes,Aleppo,Afrin,Afrin,Afrin (Afrin),In the Village,NA,NA,SY02,SY0203,SY020300,C1366,C1366,Community,36.865523,36.511094,NA
NWS,Earthquake,Private donor,2023-02-14T00:00:00Z,2023-02-07T00:00:00Z,Implemented,Ready to Eat Ration,NA,12,10.5,KG,2000,9000,Yes,Idleb,Harim,Dana,Dana (Dana),Village & Camps,NA,NA,SY07,SY0703,SY070301,C4126,C4126,Community,36.76958,36.213601,NA
NWS,Earthquake,Private donor,2023-02-14T00:00:00Z,2023-02-07T00:00:00Z,Implemented,Ready to Eat Ration,NA,12,10.5,KG,2000,9000,Yes,Aleppo,Afrin,Afrin,Afrin (Afrin),Village & Camps,NA,NA,SY02,SY0203,SY020300,C1366,C1366,Community,36.865523,36.511094,NA
NWS,Earthquake,Private donor,2023-02-23T00:00:00Z,2023-02-07T00:00:00Z,Implemented,Ready to Eat Ration,Regularly Distribution,5,11,KG,600,3000,Yes,Aleppo,Afrin,Jandairis,Jandairis,In the Village,جنديرس - الجمعيات - مخيم البلوك,NA,SY02,SY0203,SY020302,C1426,C1426,Community,36.689563,36.392488,CBR-043
NWS,Earthquake,Mercy Without Limits (MWL),2023-02-12T00:00:00Z,2023-02-07T00:00:00Z,Implemented,Ready to Eat Ration,NA,5,11.4,KG,75,375,Yes,Aleppo,Afrin,Afrin,Afrin (Afrin),In the Village,NA,NA,SY02,SY0203,SY020300,C1366,C1366,Community,36.865523,36.511094,NA
NWS,Earthquake,N/A,2023-02-21T00:00:00Z,2023-02-07T00:00:00Z,Implemented,Ready to Eat Ration,NA,5,11.4,KG,60,300,Yes,Aleppo,A'zaz,A'zaz,Azaz,In the Village,NA,NA,SY02,SY0204,SY020400,C1564,C1564,Community,37.04316,36.584872,NA
